OC_DIGIKEY,MF,MPN,Description,Qty
AZ23C3V3-FDICT-ND,Diodes Inc.,AZ23C3V3-7-F,Dual DIODE,2
A30932-ND,TE Connectivity,2-644861-3,JUMPER,1
DMG6402LDM-7DICT-ND,Diodes Inc.,DMG6402LDM-7,MOS FET,4
DSS20200LDICT-ND,Diodes Inc.,DSS20200L-7,PNP TRANSISTOR,1
MMBZ5226BLT1GOSCT-ND,ON Semiconductor,MMBZ5226BLT1G,Z-Diode,1
CRF2512-FV-R001ELFCT-ND,"Bourns, Inc.",CRF2512-FV-R001ELF,"RESISTOR, American symbol",1
CRA2512-FZ-R050ELFCT-ND,"Bourns, Inc.",CRA2512-FZ-R050ELF,"RESISTOR, American symbol",4
CRF2512-FX-R010ELFCT-ND,"Bourns, Inc.",CRF2512-FX-R010ELF,"RESISTOR, American symbol",1
311-1361-1-ND,Yageo,CC0805ZRY5V9BB104,"CAPACITOR, American symbol",27
P100KACT-ND,Panasonic Electronic,ERJ-6GEYJ104V,"RESISTOR, American symbol",5
P10KACT-ND,Panasonic Electronic,ERJ-6GEYJ103V,"RESISTOR, American symbol",4
311-1099-1-ND,Yageo,CC0805JRNPO9BN100,"CAPACITOR, American symbol",3
587-1295-1-ND,Taiyo Yuden,EMK212BJ106KG-T,"CAPACITOR, American symbol",6
587-2045-1-ND,Taiyo Yuden,LBR2012T100K,"INDUCTOR, American symbol",2
283-3142-1-ND,Cooper Bussmann,PTS12066V100,PTC Resettable Fuse,4
P1.0KACT-ND,Panasonic Electronic,ERJ-6GEYJ102V,"RESISTOR, American symbol",1
587-1283-1-ND,Taiyo Yuden,EMK212B7105KG-T,"CAPACITOR, American symbol",4
WM4200-ND,Molex,22-23-2021,".100 (2.54mm) Center Header - 2 Pin""",2
WM4201-ND,Molex,22-23-2031,".100 (2.54mm) Center Header - 3 Pin""",2
P2.0KACT-ND,Panasonic Electronic,ERJ-6GEYJ202V,"RESISTOR, American symbol",6
P330ACT-ND,Panasonic Electronic,ERJ-6GEYJ331V,"RESISTOR, American symbol",3
P4.99KCCT-ND,Panasonic Electronic,ERJ-6ENF4991V,"RESISTOR, American symbol",1
P412KCCT-ND,Panasonic Electronic,ERJ-6ENF4123V,"RESISTOR, American symbol",1
541-1239-1-ND,Vishay Dale,IHLP2020CZER5R6M11,"INDUCTOR, American symbol",1
283-3132-1-ND,Cooper Bussmann,PTS120660V005,PTC Resettable Fuse,8
P634KCCT-ND,Panasonic Electronic,ERJ-6ENF6343V,"RESISTOR, American symbol",1
PCE3806CT-ND,Panasonic Electronic,EEE-FK1E680P,"POLARIZED CAPACITOR, American symbol",3
296-1122-1-ND,Texas Instruments,SN74ALS04BDR,Hex INVERTER,1
609-2423-ND,FCI,69168-106HLF,AVR PDI programming interface connector,1
455-1659-ND,JST,B4B-ZR(LF)(SN),"ZH CONNECTOR 1.5 mm, 4 pin 1 row",2
740-1038-1-ND,Microchip,RN42-I/RM,Bluetooth SMD module,1
455-1806-1-ND,JST,SM06B-SRSS-TB(LF)(SN),D2523T GPS Module,1
IPD90P03P4L-04INCT-ND,Infineon Technologies,IPD90P03P4L-04,P-Channel PowerTrench¨ MOSFET,1
587-1859-1-ND,Taiyo Yuden,BK1005LL470-T,EMIFIL (R) Chip Ferrite Bead for GHz Noise,1
160-1169-1-ND,Lite-On Inc.,LTST-C150GKT,LED,1
751-1415-1-ND,Vishay Semiconductors,GSOT05C-GS08,Dual DIODE,4
INA170EA/2K5CT-ND,Texas Instruments,INA170EA/2K5,"High-Side, Bidirectional",2
LT1161ISW#PBF-ND,Linear Technology,LT1161ISW#PBF,Quad Protected High-Side MOSFET Driver,1
LT3652EMSE#PBF-ND,Linear Technology,LT3652EMSE#PBF,Power Tracking 2A Battery Charger for Solar Power,1
MAX3221CUE+-ND,Maxim,MAX3221CUE+,RS-232 Transceivers with AutoShutdown,4
MBRA340T3GOSCT-ND,ON Semiconductor,MBRA340T3G,Surface Mount Schottky Power Rectifier,3
MCP1700T3302EMBCT-ND,Microchip,MCP1700T-3302E/MB,"250 mA, 16V, Low Quiescent Current LDO Regulator",1
160-1405-1-ND,Lite-On Inc.,LTST-C150KRKT,LED,1
306-1125-1-ND,Coto Technology,CT10-1530-G1,Reed Sensor,2
296-11603-1-ND,Texas Instruments,SN74LVC1G125DBVR,SINGLE BUS BUFFER GATE WITH 3-STATE OUTPUT,8
1175-1016-ND,CNC Tech,1002-002-01100,USB A-type connector,1
ATXMEGA128A1-AU-ND,Atmel,ATXMEGA128A1-AU,MICROCONTROLLER,1
160-1406-1-ND,Lite-On Inc.,LTST-C150KSKT,LED,1
